date;gdp_real;gdp_potential;output_gap;potential_growth;tfp_trend;tfp_cycle;nairu;employment_potential
2000-01-01;207355.11556475004;208669.46995794;-0.6298738351397937;;2.9345089257848844;-0.5195662204133811;8.704341719091477;7265657.403056079
2000-04-01;209927.5564595;210596.97655252312;-0.3178678554562109;0.9194726601052139;2.9306528121890865;-0.08549246500786367;8.704341719091477;7324409.063999872
2000-07-01;211979.6799285;212373.71095740053;-0.18553663121683162;0.8401267074441776;2.9267922615930675;0.19252438476344835;8.7634490187825;7383627.268249326
2000-10-01;214811.48843499998;214177.0819644965;0.2962065150409643;0.8455648339149135;2.922916251527726;0.32399568446157545;8.82284295481214;7443289.203263578
2001-01-01;216958.1050595;216120.41374435453;0.38760397531736324;0.9032564733969295;2.9190173306912612;0.005879058234903312;8.902331808540852;7503342.016463173
2001-04-01;218486.68713225;218016.17103258;0.21581706413864588;0.8733515692902927;2.9150939913947553;0.16714418226353445;8.982420435722682;7563728.874377862
2001-07-01;220561.532457;219711.70872762942;0.3867903692033492;0.7747033047072804;2.911144842168627;0.11495757393067407;9.063137259120307;7624420.962444986
2001-10-01;222133.307907;221385.6114692107;0.33773488386497075;0.7589757181818868;2.9071715373227995;0.2982858238744335;9.144514582259907;7685392.3492503995
2002-01-01;222992.17544725;223156.7611431602;-0.07375339876196652;0.7968459948269668;2.9031778092713916;-0.18149124191024768;9.226587852843895;7746637.881825447
2002-04-01;225106.37981374998;224902.2493687894;0.09076407440720136;0.779137129139329;2.899172775864523;0.35682892510848774;9.309394737225995;7808155.37136147
2002-07-01;226007.849437;226523.8381250741;-0.2277856018796598;0.7184324415430154;2.8951622212838197;0.31528083458889355;9.392974046616189;7869951.291243002
2002-10-01;227717.48945775002;228196.85654971848;-0.21006735115302044;0.7358477383299089;2.8911583458460473;-0.071718465502979;9.477364730465238;7932010.599051421
2003-01-01;229924.24684625;230036.65233055563;-0.048864162804851397;0.8029991832227523;2.887178971711728;0.4281630730520014;9.562605278384206;7994273.0732176695
2003-04-01;230425.52178175002;231874.9363368475;-0.6250846158689094;0.7959504617588209;2.88324053073963;0.13068648867715638;9.648733353318768;8056665.12920354
2003-07-01;231945.3625685;233602.25358461373;-0.7092786951704677;0.7421739298354879;2.8793670711122457;0.028984575898505227;9.735785616530388;8119071.074315738
2003-10-01;233718.37786049998;235409.82343411114;-0.7185110412712081;0.770802666962922;2.8755848630181466;-0.5906108192656134;9.82379739142349;8181307.931140762
2004-01-01;234876.3926765;237366.89997042593;-1.0492226566704232;0.8279120431323506;2.8719205646037707;-0.39177651084596476;9.912802177056719;8243124.467479899
2004-04-01;237269.909912;239239.1920351295;-0.8231436105336498;0.7856809752947669;2.868390120553787;-0.28844132667975586;10.00283114051865;8304251.092385601
2004-07-01;239303.24216875003;241000.4653858914;-0.7042406388816591;0.7335009594733322;2.8650023968939604;0.16458660004081693;10.093912505710215;8364353.774950196
2004-10-01;240719.88040675002;242823.53377820508;-0.8663301034802284;0.7536116536551063;2.8617610767535453;-0.23421432806109976;10.186070817433333;8423043.135145543
2005-01-01;242934.437025;244786.88873639662;-0.7567610017673254;0.8053009033353931;2.8586727869596342;0.2128502377946262;10.279325887297624;8479844.256564522
2005-04-01;244829.52351174998;246765.68275531495;-0.784614465814848;0.8051243439142652;2.8557399670405488;-0.7532659817329979;10.373691357043025;8534215.659247221
2005-07-01;247053.48167025;248571.99017644173;-0.6108928464200081;0.7293268921594986;2.8529688648840352;-0.2492577410730945;10.46917273526089;8585519.040649867
2005-10-01;249729.970329;250329.26369815922;-0.23940204205682436;0.704460361778203;2.8503523097500243;-0.156141275193189;10.565765167529444;8633101.924720692
2006-01-01;252583.699677;252220.74242254242;0.14390460156901153;0.7527559975825326;2.8478787447751475;-0.4074447003709736;10.66345127346883;8676270.650995316
2006-04-01;254980.25090175003;254106.52404562346;0.3438427483938522;0.7448899032366896;2.8455338975585875;0.10206953720244272;10.762199303562332;8714317.729013575
2006-07-01;257717.86538899998;255743.67608226076;0.7719406152995933;0.6422112467740604;2.8432963197629415;-0.025422080627812704;10.861961637845994;8746582.50982498
2006-10-01;260289.22635974997;257315.1026576928;1.1558294368806177;0.6125736677674354;2.8411464559268382;0.6463874221605437;10.962673407684084;8772428.166092113
2007-01-01;263079.3678945;258894.73825551395;1.6163440273769147;0.6120148835682571;2.8390643673698985;0.5000557271142902;11.064251152387913;8791296.36017515
2007-04-01;265738.71375025;260355.12021012435;2.067788617247368;0.5624982968765124;2.8370416406580707;0.698483314093945;11.166591370467323;8802685.899094952
2007-07-01;267922.380028;261492.93033551742;2.4587470430780023;0.43607020366422944;2.835078750620665;0.6594842348075503;11.269569156848334;8806211.580110906
2007-10-01;269708.66920725;262490.7027126865;2.749798914769208;0.3808415073351057;2.833188542502299;0.8516331439238911;11.383453786505143;8801630.227159513
2008-01-01;270009.47695875;263323.7451127938;2.5389779577578153;0.3168581998934883;2.8313955022784696;0.1158800456005693;11.518491531187166;8788881.19464992
2008-04-01;270697.24893575;263948.9053184467;2.556685586235563;0.23712987885282644;2.829739123885457;-0.060057820673442563;11.684905990368705;8768094.823393673
2008-07-01;270662.69801325;264271.58012653777;2.418390158961503;0.12217430301131316;2.828260873233497;0.38782351463853004;11.882482720444976;8739637.906268142
2008-10-01;267078.546264;264364.4446133185;1.026651543346313;0.035133620635008356;2.827001096886211;-1.1089741965929711;12.100571681700465;8704125.454468895
2009-01-01;260133.73834799998;264232.86544985557;-1.5513312830623183;-0.049784273841524396;2.8260069638610963;-1.544359082477964;12.32850749126164;8662360.155875351
2009-04-01;260731.203999;263787.2152909911;-1.1585138000793416;-0.16880049866951907;2.8253060606289986;-0.6859400699351426;12.555613836126872;8615334.390538402
2009-07-01;261369.6442105;263189.1938456321;-0.6913466349227404;-0.226963367506805;2.8248987650298467;-0.25443460962515374;12.698291391461177;8564029.963564083
2009-10-01;261150.94195299997;262602.64330593764;-0.552812924752788;-0.22311140704900367;2.8247734357909393;-0.19079261425583027;12.745855085140235;8509372.63261728
2010-01-01;260626.44883424998;262021.99166201043;-0.5326052286330984;-0.22135898405188925;2.82491402823734;0.1878380523577583;12.687620315887912;8452232.86974876
2010-04-01;260743.45006;261382.35881151582;-0.24443453430479378;-0.2444126298657423;2.82530120367181;-0.617857529452781;12.596238242105851;8393430.740554526
2010-07-01;260789.65062325003;260722.57138520753;0.025728205151587247;-0.2527414469259526;2.8259189984554465;-0.0651631350762294;12.55478052858709;8333704.264494418
2010-10-01;261206.37181925002;260098.2425191474;0.42604259427898583;-0.23974816230136753;2.8267405782989727;0.6060436212240283;12.573407281898739;8273803.71269179
2011-01-01;261656.62449800002;259479.10236333378;0.8391897901732337;-0.2383246517441151;2.8277379741214728;0.1010962505978874;12.662284874006339;8214466.118031145
2011-04-01;261350.49256699998;258822.5924721562;0.9766922086277052;-0.253331312177707;2.8288939289007304;0.7288393255270975;12.748253611499791;8156392.348227873
2011-07-01;259935.83483374998;258175.97243882288;0.6816522770507261;-0.2501439711400266;2.8301929740989773;0.38994481664076375;12.831078794325741;8100324.770408857
2011-10-01;258582.37315975002;257581.23241393646;0.38866991062636025;-0.23062800980984122;2.8316325345567352;0.41718896989122456;12.907063085907627;8047005.886910132
2012-01-01;255914.85066725;257060.75283130584;-0.4457709515881758;-0.20226867414798733;2.833216955665278;0.06000145589641903;12.972520347205695;7997183.692817709
2012-04-01;253524.70140775;256601.96787026103;-1.1992372810121665;-0.17863281275918297;2.83495800582237;-0.09887285569822879;13.02377754923527;7951587.819394862
2012-07-01;252413.09503974998;256177.54016170153;-1.469467276317582;-0.1655400806134466;2.836868570343582;-0.21324439938634754;13.060649049522166;7910894.407559009
2012-10-01;250462.90051525002;255839.5165210821;-2.1015580700525005;-0.13203610517091846;2.8389598430915255;-0.16638360522529538;13.086438638970423;7875682.66220226
2013-01-01;249918.81303074997;255652.41956337143;-2.242735094161785;-0.07315734730344303;2.841239296359608;-0.25077774065964675;13.104469167581012;7846428.308106902
2013-04-01;249807.31245725002;255612.4443581612;-2.271067793857917;-0.015637767471510244;2.8437115044764356;-0.08575846454750291;13.118084083569725;7823453.977420922
2013-07-01;249595.51037649997;255693.86594793719;-2.385022240885093;0.03184845906378797;2.846376633484379;-0.21961728560322413;13.127176381396154;7806930.087173065
2013-10-01;249864.82136075;255932.6562998499;-2.370871707747546;0.09334557880329442;2.8492333603196913;-0.5691508061801187;13.131661573692586;7796863.249131205
2014-01-01;250417.05163250002;256401.81260409587;-2.3341336439133498;0.18314459161281604;2.852276478331187;-0.5255030594495835;13.131478026371097;7793099.752332628
2014-04-01;251384.032771;257054.30768738798;-2.205866521903921;0.25415820700001035;2.8554906359986028;-0.8292296129241095;13.126586891380342;7795354.771154466
2014-07-01;253021.6840495;257751.18153643745;-1.8349081694777225;0.2707330396779284;2.858851053167881;-0.5377891147800185;13.158638358290652;7803210.045976589
2014-10-01;255071.72881924998;258533.39756665274;-1.338963855341091;0.3030176226054948;2.8623180212345947;-0.6627262186234439;13.23110989584579;7816145.568304337
2015-01-01;257865.05775500002;259516.29679518615;-0.636275663832131;0.3794618233108338;2.8658420195662027;0.15546843713707403;13.347499889687871;7833542.4637202285
2015-04-01;260489.08773275002;260728.09914575337;-0.0916707534732275;0.46585971963146733;2.8693614033121295;0.013898777730769751;13.469660061557923;7854729.151885125
2015-07-01;262563.21940275;261942.0626270121;0.2371351777215036;0.464524571320446;2.872817016797315;-0.05113809377110812;13.555988831363058;7878968.343988655
2015-10-01;264805.12495774997;263131.08424055064;0.6362002885485607;0.45289828780408214;2.8761496725404436;0.14892516447160276;13.603096705980924;7905508.93156425
2016-01-01;266443.90570025;264382.01911110873;0.7798891150289311;0.4742772103574211;2.879299001551038;0.020292237214736275;13.60761038634999;7933615.405482268
2016-04-01;267154.16906549997;265658.99511737266;0.5628169855369292;0.48184138307210134;2.8822070840249006;-0.006120523401076383;13.607837938707984;7962582.5824425
2016-07-01;269239.9396935;266804.25273837114;0.9129115934734644;0.43017406053476037;2.884816186941596;0.1614509340956971;13.60390619546608;7991757.519454074
2016-10-01;270673.66213775;267837.3338458047;1.0589742106596134;0.3864579258738843;2.887068343029602;0.45236990139825295;13.595953718812623;8020524.555483758
2017-01-01;272886.94488374994;269006.6397030609;1.442457028187949;0.4356229236066156;2.8889084413198356;0.4794760915547869;13.584129300158036;8048321.132517812
2017-04-01;275886.24616175;270221.0945857378;2.096487539100944;0.4504430536044879;2.8902895663024295;1.0413510337201615;13.568590330236358;8074627.2038161615
2017-07-01;277735.08950775;271248.95859856054;2.3912095156791935;0.3796572835046419;2.891173583200374;1.0879959240008397;13.549501075350344;8098996.180286077
2017-10-01;279502.67645749997;272128.16137362376;2.709941906288482;0.32360712661976265;2.8915413748713203;1.4054223499040397;13.527030948600059;8121063.883677397
2018-01-01;280588.11998875;273031.31514495675;2.767742901498771;0.33133592517256005;2.891393745980306;1.232167967268527;13.501352922875691;8140570.998537441
2018-04-01;282432.2965625;273955.1710625413;3.0943476872803632;0.33779876445745316;2.890757168932328;1.060606418680976;13.472642051032194;8157364.695002211
2018-07-01;284140.65670375;274692.61902580905;3.439494556296485;0.2688239780402668;2.889680603581628;0.9864619100082628;13.441074017580549;8171419.6622978095
2018-10-01;285868.98057350004;275188.0290475173;3.8813285457771407;0.18018824902643615;2.888232299262746;1.5508089797050317;13.406823652386516;8182880.635551065
2019-01-01;287662.90120925;275724.1377020782;4.329966758322645;0.19462587909497842;2.8864983282387464;1.1700049686979241;13.370063448616305;8192097.789040942
2019-04-01;288632.798871;276334.65935929085;4.450451326020266;0.22118002986459828;2.8845926204822034;1.806812694925064;13.330962231965037;8199615.48432424
2019-07-01;289259.59890324995;276821.9700751177;4.493006398573485;0.176192715033352;2.882649934284251;1.653653479576267;13.289684179970836;8206240.655024311
2019-10-01;291041.83083475;277219.94232709176;4.985892570221306;0.14366144925563873;2.8808372086290417;2.1012963039731325;13.249513159796557;8212998.764521334
2020-01-01;276538.10049474996;277667.8446010833;-0.4068689004866344;0.16143890055690946;2.87935073356778;0.2611931311101934;13.213727322459068;8221150.742885837
2020-04-01;226644.8304615;277932.115748644;-18.45316981414524;0.09513001668466359;2.8784242753402873;-4.7937154601682685;13.18559916966677;8232197.235148035
2020-07-01;262941.28011675004;278229.914209754;-5.494964168906014;0.10709055042568139;2.8782962518407125;-3.81776574976902;13.16527131150176;8247592.413159662
2020-10-01;264839.804852;278946.76754472253;-5.0572239344773395;0.2573164864852373;2.879119328347948;-3.7762742924706494;13.149757819067702;8267478.685107149
2021-01-01;267684.01161025;279976.1434156226;-4.390421146392109;0.3683431165788065;2.8809784510447023;-1.4314373249802337;13.136070654027566;8291850.2740620235
2021-04-01;270589.93088225;281219.6208705678;-3.7798536088668344;0.4431535549914045;2.883891778307495;-3.477523192599108;13.121220596552906;8320587.24828404
2021-07-01;275906.985768;282543.63692119124;-2.34889421878659;0.46970726331707624;2.8878528432461654;-1.9326776803750612;13.080342331318178;8353311.567190629
2021-10-01;281556.045866;283994.61604157416;-0.8586677485523775;0.5122274746049982;2.8927934008950884;-0.5145627332113101;13.010443584958072;8389612.276289383
2022-01-01;286464.47764225;285882.8060937959;0.2034650339423516;0.6626677557404648;2.898610744899038;-0.40580085324730675;12.908528754664887;8429036.96340973
2022-04-01;291717.23817825;288033.0617467409;1.2790810919992568;0.7493313340106056;2.905192827111369;0.368691007416988;12.796597278534845;8471097.45029589
2022-07-01;294613.2825275;290163.86742148123;1.533414599673688;0.7370552189334134;2.912419821015911;0.7352744422409963;12.699767173161783;8515351.227652824
2022-10-01;296821.2356525;292230.785433077;1.5708304696988362;0.7098027701362142;2.920177878257519;1.2180106657376122;12.62127402397292;8561427.285256708
